Species common name,nest_height,scientific_name,common_name
Salvadori's Seedeater,NA,Crithagra xantholaema,Salvadori's Seedeater
Salvadori's Teal,3,Salvadorina waigiuensis,Salvadori's Teal
Salvin's Albatross,0,Thalassarche salvini,Salvin's Albatross
Salvin's Curassow,8.5,Mitu salvini,Salvin's Curassow
Salvin's Prion,NA,Pachyptila salvini,Salvin's Prion
Samoan Fantail,1.75,Rhipidura nebulosa,Samoan Fantail
Samoan Flycatcher,3.75,Myiagra albiventris,Samoan Flycatcher
Samoan Fruit-dove,13,Ptilinopus fasciatus,Samoan Fruit-dove
Samoan Moorhen,NA,Pareudiastes pacificus,Samoan Moorhen
Samoan Starling,15,Aplonis atrifusca,Samoan Starling
Samoan Triller,NA,Lalage sharpei,Samoan Triller
Samoan Whistler,9,Pachycephala flavifrons,Samoan Whistler
Samoan White-eye,NA,Zosterops samoensis,Samoan White-eye
San Andres Vireo,1.8299999999999998,Vireo caribaeus,San Andres Vireo
San Benito Sparrow,0.15,Passerculus sanctorum,San Benito Sparrow
San Blas Jay,8.125,Cyanocorax sanblasianus,San Blas Jay
San Cristobal Dwarf-kingfisher,NA,Ceyx gentianus,San Cristobal Dwarf-kingfisher
San Cristobal Mockingbird,6.5,Mimus melanotis,San Cristobal Mockingbird
San Lucas Robin,NA,Turdus confinis,San Lucas Robin
Sand Lark,0,Alaudala raytal,Sand Lark
Sand Partridge,0,Ammoperdix heyi,Sand Partridge
Sand-colored Nighthawk,0,Chordeiles rupestris,Sand-colored Nighthawk
Sanderling,0,Calidris alba,Sanderling
Sandhill Crane,0,Antigone canadensis,Sandhill Crane
Sandstone Shrike-thrush,7.5,Colluricincla woodwardi,Sandstone Shrike-thrush
Sandwich Tern,0,Thalasseus sandvicensis,Sandwich Tern
Sandy Gallito,NA,Teledromas fuscus,Sandy Gallito
Sandy Scops-owl,NA,Otus icterorhynchus,Sandy Scops-owl
Sanford's Sea-eagle,NA,Haliaeetus sanfordi,Sanford's Sea-eagle
Sanford's White-eye,NA,Zosterops lacertosus,Sanford's White-eye
Sangihe Dwarf-kingfisher,NA,Ceyx sangirensis,Sangihe Dwarf-kingfisher
Sangihe Golden Bulbul,NA,Thapsinillas platenae,Sangihe Golden Bulbul
Sangihe Hanging-parrot,9.5,Loriculus catamene,Sangihe Hanging-parrot
Sangihe Lilac Kingfisher,NA,Cittura sanghirensis,Sangihe Lilac Kingfisher
Sangihe Pitta,NA,Erythropitta caeruleitorques,Sangihe Pitta
Sangihe Scops-owl,NA,Otus collari,Sangihe Scops-owl
Sangihe Whistler,NA,Coracornis sanghirensis,Sangihe Whistler
Sangihe White-eye,NA,Zosterops nehrkorni,Sangihe White-eye
Santa Cruz Ground-dove,NA,Alopecoenas sanctaecrucis,Santa Cruz Ground-dove
Santa Cruz White-eye,NA,Zosterops sanctaecrucis,Santa Cruz White-eye
Santa Isabel Rail,0,Hypotaenidia immaculata,Santa Isabel Rail
Santa Marta Antbird,NA,Drymophila hellmayri,Santa Marta Antbird
Santa Marta Antpitta,NA,Grallaria bangsi,Santa Marta Antpitta
Santa Marta Brush-finch,2.055,Atlapetes melanocephalus,Santa Marta Brush-finch
Santa Marta Bush-tyrant,NA,Myiotheretes pernix,Santa Marta Bush-tyrant
Santa Marta Foliage-gleaner,NA,Clibanornis rufipectus,Santa Marta Foliage-gleaner
Santa Marta Mountain-tanager,21,Anisognathus melanogenys,Santa Marta Mountain-tanager
Santa Marta Parakeet,NA,Pyrrhura viridicata,Santa Marta Parakeet
Santa Marta Sabrewing,NA,Campylopterus phainopeplus,Santa Marta Sabrewing
Santa Marta Tapaculo,NA,Scytalopus sanctaemartae,Santa Marta Tapaculo
Santa Marta Warbler,NA,Myiothlypis basilica,Santa Marta Warbler
Santa Marta Woodstar,NA,Chaetocercus astreans,Santa Marta Woodstar
Santa Marta Wren,NA,Troglodytes monticola,Santa Marta Wren
Santarem Parakeet,NA,Pyrrhura amazonum,Santarem Parakeet
Santo Thicketbird,NA,Megalurulus whitneyi,Santo Thicketbird
Sao Francisco Sparrow,NA,Arremon franciscanus,Sao Francisco Sparrow
Sao Paulo Tyrannulet,NA,Phylloscartes paulista,Sao Paulo Tyrannulet
Sao Tome Bronze-naped Pigeon,11,Columba malherbii,Sao Tome Bronze-naped Pigeon
Sao Tome Green-pigeon,3.75,Treron sanctithomae,Sao Tome Green-pigeon
Sao Tome Grosbeak,NA,Crithagra concolor,Sao Tome Grosbeak
Sao Tome Kingfisher,NA,Corythornis thomensis,Sao Tome Kingfisher
Sao Tome Olive-pigeon,NA,Columba thomensis,Sao Tome Olive-pigeon
Sao Tome Oriole,14.5,Oriolus crassirostris,Sao Tome Oriole
Sao Tome Paradise-flycatcher,5.5,Terpsiphone atrochalybeia,Sao Tome Paradise-flycatcher
Sao Tome Prinia,2.5,Prinia molleri,Sao Tome Prinia
Sao Tome Scops-owl,NA,Otus hartlaubi,Sao Tome Scops-owl
Sao Tome Short-tail,NA,Amaurocichla bocagii,Sao Tome Short-tail
Sao Tome Spinetail,1.7,Zoonavena thomensis,Sao Tome Spinetail
Sao Tome Thrush,6.5,Turdus olivaceofuscus,Sao Tome Thrush
Sao Tome Weaver,12.5,Ploceus sanctithomae,Sao Tome Weaver
Sao Tome White-eye,NA,Zosterops feae,Sao Tome White-eye
Sapayoa,3,Sapayoa aenigma,Sapayoa
Sapphire Flycatcher,NA,Ficedula sapphira,Sapphire Flycatcher
Sapphire Quail-dove,3.2,Geotrygon saphirina,Sapphire Quail-dove
Sapphire-bellied Hummingbird,NA,Lepidopyga lilliae,Sapphire-bellied Hummingbird
Sapphire-rumped Parrotlet,NA,Touit purpuratus,Sapphire-rumped Parrotlet
Sapphire-spangled Emerald,NA,Amazilia lactea,Sapphire-spangled Emerald
Sapphire-throated Hummingbird,1.45,Lepidopyga coeruleogularis,Sapphire-throated Hummingbird
Sapphire-vented Puffleg,NA,Eriocnemis luciani,Sapphire-vented Puffleg
Sardinian Warbler,1.8,Sylvia melanocephala,Sardinian Warbler
Sarus Crane,NA,Antigone antigone,Sarus Crane
Sassi's Olive Greenbul,NA,Phyllastrephus lorenzi,Sassi's Olive Greenbul
Satin Bowerbird,22,Ptilonorhynchus violaceus,Satin Bowerbird
Satin Flycatcher,15.5,Myiagra cyanoleuca,Satin Flycatcher
Saturnine Antshrike,4.5,Thamnomanes saturninus,Saturnine Antshrike
Satyr Tragopan,3,Tragopan satyra,Satyr Tragopan
Saunders's Gull,NA,Saundersilarus saundersi,Saunders's Gull
Saunders's Tern,0,Sternula saundersi,Saunders's Tern
Savanna Hawk,NA,Buteogallus meridionalis,Savanna Hawk
Savanna Nightjar,0,Caprimulgus affinis,Savanna Nightjar
Savannah Sparrow,0,Passerculus sandwichensis,Savannah Sparrow
Savi's Warbler,NA,Locustella luscinioides,Savi's Warbler
Savile's Bustard,NA,Lophotis savilei,Savile's Bustard
Saw-billed Hermit,NA,Ramphodon naevius,Saw-billed Hermit
Saxaul Sparrow,NA,Passer ammodendri,Saxaul Sparrow
Say's Phoebe,12,Sayornis saya,Say's Phoebe
Sayaca Tanager,6,Tangara sayaca,Sayaca Tanager
Scale-crested Pygmy-tyrant,5.25,Lophotriccus pileatus,Scale-crested Pygmy-tyrant
Scale-feathered Malkoha,NA,Lepidogrammus cumingi,Scale-feathered Malkoha
Scale-throated Earthcreeper,NA,Upucerthia dumetaria,Scale-throated Earthcreeper
Scale-throated Hermit,NA,Phaethornis eurynome,Scale-throated Hermit
Scaled Antbird,1.355,Drymophila squamata,Scaled Antbird
Scaled Antpitta,1.425,Grallaria guatimalensis,Scaled Antpitta
Scaled Chachalaca,NA,Ortalis squamata,Scaled Chachalaca
Scaled Dove,2,Columbina squammata,Scaled Dove
Scaled Flowerpiercer,NA,Diglossa duidae,Scaled Flowerpiercer
Scaled Fruiteater,NA,Ampelioides tschudii,Scaled Fruiteater
Scaled Metaltail,NA,Metallura aeneocauda,Scaled Metaltail
Scaled Piculet,NA,Picumnus squamulatus,Scaled Piculet
Scaled Pigeon,0.75,Patagioenas speciosa,Scaled Pigeon
Scaled Quail,0,Callipepla squamata,Scaled Quail
Scaled Spinetail,NA,Cranioleuca muelleri,Scaled Spinetail
Scaled Woodcreeper,NA,Lepidocolaptes squamatus,Scaled Woodcreeper
Scallop-breasted Antpitta,NA,Grallaricula loricata,Scallop-breasted Antpitta
Scalloped Antbird,NA,Myrmoderus ruficauda,Scalloped Antbird
Scalloped Antthrush,NA,Chamaeza turdina,Scalloped Antthrush
Scalloped Woodcreeper,4.5,Lepidocolaptes falcinellus,Scalloped Woodcreeper
Scaly Babbler,NA,Turdoides squamulata,Scaly Babbler
Scaly Chatterer,NA,Argya aylmeri,Scaly Chatterer
Scaly Francolin,NA,Pternistis squamatus,Scaly Francolin
Scaly Ground-roller,0,Geobiastes squamiger,Scaly Ground-roller
Scaly Laughingthrush,1.05,Trochalopteron subunicolor,Scaly Laughingthrush
Scaly Thrush,6.75,Zoothera dauma,Scaly Thrush
Scaly-bellied Woodpecker,7.8,Picus squamatus,Scaly-bellied Woodpecker
Scaly-breasted Bulbul,NA,Pycnonotus squamatus,Scaly-breasted Bulbul
Scaly-breasted Cupwing,NA,Pnoepyga albiventer,Scaly-breasted Cupwing
Scaly-breasted Fruiteater,22.5,Pipreola squamipectus,Scaly-breasted Fruiteater
Scaly-breasted Honeyeater,NA,Lichmera squamata,Scaly-breasted Honeyeater
Scaly-breasted Illadopsis,0,Illadopsis albipectus,Scaly-breasted Illadopsis
Scaly-breasted Kingfisher,NA,Actenoides princeps,Scaly-breasted Kingfisher
Scaly-breasted Lorikeet,NA,Trichoglossus chlorolepidotus,Scaly-breasted Lorikeet
Scaly-breasted Munia,10.5,Lonchura punctulata,Scaly-breasted Munia
Scaly-breasted Sabrewing,6,Campylopterus cuvierii,Scaly-breasted Sabrewing
Scaly-breasted Thrasher,NA,Allenia fusca,Scaly-breasted Thrasher
Scaly-breasted Woodpecker,NA,Celeus grammicus,Scaly-breasted Woodpecker
Scaly-crowned Babbler,NA,Malacopteron cinereum,Scaly-crowned Babbler
Scaly-crowned Honeyeater,NA,Lichmera lombokia,Scaly-crowned Honeyeater
Scaly-fronted Weaver,4,Sporopipes squamifrons,Scaly-fronted Weaver
Scaly-headed Parrot,NA,Pionus maximiliani,Scaly-headed Parrot
Scaly-naped Amazon,NA,Amazona mercenarius,Scaly-naped Amazon
Scaly-naped Pigeon,NA,Patagioenas squamosa,Scaly-naped Pigeon
Scaly-sided Merganser,10.5,Mergus squamatus,Scaly-sided Merganser
Scaly-throated Foliage-gleaner,NA,Anabacerthia variegaticeps,Scaly-throated Foliage-gleaner
Scaly-throated Honeyguide,NA,Indicator variegatus,Scaly-throated Honeyguide
Scaly-throated Leaftosser,0,Sclerurus guatemalensis,Scaly-throated Leaftosser
Scarce Swift,NA,Schoutedenapus myoptilus,Scarce Swift
Scarlet Finch,13,Carpodacus sipahi,Scarlet Finch
Scarlet Ibis,3.25,Eudocimus ruber,Scarlet Ibis
Scarlet Macaw,27,Ara macao,Scarlet Macaw
Scarlet Minivet,16,Pericrocotus flammeus,Scarlet Minivet
Scarlet Myzomela,13.7,Myzomela sanguinolenta,Scarlet Myzomela
Scarlet Robin,18,Petroica boodang,Scarlet Robin
Scarlet Tanager,13.95,Piranga olivacea,Scarlet Tanager
Scarlet-and-white Tanager,NA,Chrysothlypis salmoni,Scarlet-and-white Tanager
Scarlet-backed Flowerpecker,9.5,Dicaeum cruentatum,Scarlet-backed Flowerpecker
Scarlet-backed Woodpecker,NA,Veniliornis callonotus,Scarlet-backed Woodpecker
Scarlet-banded Barbet,NA,Capito wallacei,Scarlet-banded Barbet
Scarlet-bellied Mountain-tanager,NA,Anisognathus lunulatus,Scarlet-bellied Mountain-tanager
Scarlet-breasted Dacnis,NA,Dacnis berlepschi,Scarlet-breasted Dacnis
Scarlet-breasted Flowerpecker,NA,Prionochilus thoracicus,Scarlet-breasted Flowerpecker
Scarlet-breasted Fruit-dove,NA,Megaloprepia formosa,Scarlet-breasted Fruit-dove
Scarlet-breasted Fruiteater,NA,Pipreola frontalis,Scarlet-breasted Fruiteater
Scarlet-breasted Lorikeet,NA,Trichoglossus forsteni,Scarlet-breasted Lorikeet
Scarlet-breasted Woodpecker,NA,Dryobates cathpharius,Scarlet-breasted Woodpecker
Scarlet-browed Tanager,NA,Heterospingus xanthopygius,Scarlet-browed Tanager
Scarlet-chested Parrot,6.5,Neophema splendida,Scarlet-chested Parrot
Scarlet-chested Sunbird,9,Chalcomitra senegalensis,Scarlet-chested Sunbird
Scarlet-collared Flowerpecker,NA,Dicaeum retrocinctum,Scarlet-collared Flowerpecker
Scarlet-crowned Barbet,NA,Capito aurovirens,Scarlet-crowned Barbet
Scarlet-faced Liocichla,1.35,Liocichla ripponi,Scarlet-faced Liocichla
Scarlet-fronted Parakeet,NA,Psittacara wagleri,Scarlet-fronted Parakeet
Scarlet-headed Blackbird,1.5,Amblyramphus holosericeus,Scarlet-headed Blackbird
Scarlet-headed Flowerpecker,NA,Dicaeum trochileum,Scarlet-headed Flowerpecker
Scarlet-hooded Barbet,2.25,Eubucco tucinkae,Scarlet-hooded Barbet
Scarlet-horned Manakin,NA,Ceratopipra cornuta,Scarlet-horned Manakin
Scarlet-rumped Cacique,NA,Cacicus microrhynchus,Scarlet-rumped Cacique
Scarlet-rumped Tanager,6.5,Ramphocelus passerinii,Scarlet-rumped Tanager
Scarlet-rumped Trogon,2.4000000000000004,Harpactes duvaucelii,Scarlet-rumped Trogon
Scarlet-shouldered Parrotlet,NA,Touit huetii,Scarlet-shouldered Parrotlet
Scarlet-thighed Dacnis,21.75,Dacnis venusta,Scarlet-thighed Dacnis
Scarlet-throated Tanager,NA,Compsothraupis loricata,Scarlet-throated Tanager
Schalow's Turaco,8,Tauraco schalowi,Schalow's Turaco
Scheepmaker's Crowned-pigeon,NA,Goura scheepmakeri,Scheepmaker's Crowned-pigeon
Schlegel's Asity,NA,Philepitta schlegeli,Schlegel's Asity
Schlegel's Francolin,0,Peliperdix schlegelii,Schlegel's Francolin
Schneider's Pitta,NA,Hydrornis schneideri,Schneider's Pitta
Schouteden's Swift,NA,Schoutedenapus schoutedeni,Schouteden's Swift
Schrenck's Bittern,0.5,Ixobrychus eurhythmus,Schrenck's Bittern
Scimitar-billed Woodcreeper,2.5,Drymornis bridgesii,Scimitar-billed Woodcreeper
Scimitar-winged Piha,NA,Lipaugus uropygialis,Scimitar-winged Piha
Scintillant Hummingbird,3,Selasphorus scintilla,Scintillant Hummingbird
Scissor-tailed Flycatcher,6.199999999999999,Tyrannus forficatus,Scissor-tailed Flycatcher
Scissor-tailed Hummingbird,NA,Hylonympha macrocerca,Scissor-tailed Hummingbird
Scissor-tailed Kite,6,Chelictinia riocourii,Scissor-tailed Kite
Scissor-tailed Nightjar,0,Hydropsalis torquata,Scissor-tailed Nightjar
Sclater's Antwren,NA,Myrmotherula sclateri,Sclater's Antwren
Sclater's Black-tyrant,NA,Knipolegus sclateri,Sclater's Black-tyrant
Sclater's Crowned-pigeon,11,Goura sclaterii,Sclater's Crowned-pigeon
Sclater's Lark,0,Spizocorys sclateri,Sclater's Lark
Sclater's Monal,5.699999999999999,Lophophorus sclateri,Sclater's Monal
Sclater's Tyrannulet,NA,Phyllomyias sclateri,Sclater's Tyrannulet
Sclater's Whistler,4.5,Pachycephala soror,Sclater's Whistler
Sclater’s Myzomela,7,Myzomela sclateri,Sclater’s Myzomela
Sclater’s Wren,NA,Campylorhynchus humilis,Sclater’s Wren
Scopoli's Shearwater,0,Calonectris diomedea,Scopoli's Shearwater
Scott's Oriole,4.25,Icterus parisorum,Scott's Oriole
Scottish Crossbill,10,Loxia scotica,Scottish Crossbill
Screaming Cowbird,NA,Molothrus rufoaxillaris,Screaming Cowbird
Screaming Piha,10.75,Lipaugus vociferans,Screaming Piha
Scribble-tailed Canastero,NA,Asthenes maculicauda,Scribble-tailed Canastero
Scripps's Murrelet,26.825000000000003,Synthliboramphus scrippsi,Scripps's Murrelet
Scrub Blackbird,8,Dives warczewiczi,Scrub Blackbird
Scrub Euphonia,7.5,Euphonia affinis,Scrub Euphonia
Scrub Greenlet,NA,Hylophilus flavipes,Scrub Greenlet
Scrub Honeyeater,6.5,Microptilotis albonotatus,Scrub Honeyeater
Scrub Nightjar,0,Nyctidromus anthonyi,Scrub Nightjar
Scrub Tanager,6,Tangara vitriolina,Scrub Tanager
Scrubtit,2.08,Acanthornis magna,Scrubtit
Seaside Cinclodes,0,Cinclodes nigrofumosus,Seaside Cinclodes
Seaside Sparrow,1.3225,Ammospiza maritima,Seaside Sparrow
Secretarybird,21,Sagittarius serpentarius,Secretarybird
Sedge Warbler,0.44999999999999996,Acrocephalus schoenobaenus,Sedge Warbler
Sedge Wren,NA,Cistothorus stellaris,Sedge Wren
See-see Partridge,0,Ammoperdix griseogularis,See-see Partridge
Selva Cacique,11,Cacicus koepckeae,Selva Cacique
Semi-collared Flycatcher,8.5,Ficedula semitorquata,Semi-collared Flycatcher
Semi-collared Hawk,NA,Accipiter collaris,Semi-collared Hawk
Semicollared Puffbird,NA,Malacoptila semicincta,Semicollared Puffbird
Semipalmated Plover,0,Charadrius semipalmatus,Semipalmated Plover
Semipalmated Sandpiper,0,Calidris pusilla,Semipalmated Sandpiper
Semiplumbeous Hawk,NA,Leucopternis semiplumbeus,Semiplumbeous Hawk
Semper's Warbler,NA,Leucopeza semperi,Semper's Warbler
Senegal Batis,NA,Batis senegalensis,Senegal Batis
Senegal Coucal,NA,Centropus senegalensis,Senegal Coucal
Senegal Eremomela,2,Eremomela pusilla,Senegal Eremomela
Senegal Lapwing,0,Vanellus lugubris,Senegal Lapwing
Senegal Parrot,NA,Poicephalus senegalus,Senegal Parrot
Senegal Thick-knee,NA,Burhinus senegalensis,Senegal Thick-knee
Sennar Penduline-tit,NA,Anthoscopus punctifrons,Sennar Penduline-tit
Sentinel Rock-thrush,NA,Monticola explorator,Sentinel Rock-thrush
Sepia-capped Flycatcher,NA,Leptopogon amaurocephalus,Sepia-capped Flycatcher
Seram Boobook,NA,Ninox squamipila,Seram Boobook
Seram Fantail,NA,Rhipidura cinerea,Seram Fantail
Seram Friarbird,NA,Philemon subcorniculatus,Seram Friarbird
Seram Golden Bulbul,3,Thapsinillas affinis,Seram Golden Bulbul
Seram Honeyeater,NA,Lichmera monticola,Seram Honeyeater
Seram Imperial-pigeon,NA,Ducula neglecta,Seram Imperial-pigeon
Seram Masked-owl,NA,Tyto almae,Seram Masked-owl
Seram Mountain-pigeon,3.75,Gymnophaps stalkeri,Seram Mountain-pigeon
Seram Oriole,NA,Oriolus forsteni,Seram Oriole
Seram Thrush,NA,Geokichla joiceyi,Seram Thrush
Seram White-eye,NA,Zosterops stalkeri,Seram White-eye
Serendib Scops-owl,NA,Otus thilohoffmanni,Serendib Scops-owl
Serra Antwren,1.995,Formicivora serrana,Serra Antwren
Serra do Mar Tyrannulet,NA,Phylloscartes difficilis,Serra do Mar Tyrannulet
Serra do Mar Tyrant-manakin,NA,Neopelma chrysolophum,Serra do Mar Tyrant-manakin
Seven-colored Tanager,NA,Tangara fastuosa,Seven-colored Tanager
Seychelles Blue-pigeon,NA,Alectroenas pulcherrimus,Seychelles Blue-pigeon
Seychelles Bulbul,9.5,Hypsipetes crassirostris,Seychelles Bulbul
Seychelles Fody,14.5,Foudia sechellarum,Seychelles Fody
Seychelles Kestrel,NA,Falco araeus,Seychelles Kestrel
Seychelles Magpie-robin,NA,Copsychus sechellarum,Seychelles Magpie-robin
Seychelles Paradise-flycatcher,6.8,Terpsiphone corvina,Seychelles Paradise-flycatcher
Seychelles Parakeet,NA,Psittacula wardi,Seychelles Parakeet
Seychelles Parrot,7,Coracopsis barklyi,Seychelles Parrot
Seychelles Scops-owl,25,Otus insularis,Seychelles Scops-owl
Seychelles Sunbird,11,Cinnyris dussumieri,Seychelles Sunbird
Seychelles Swiftlet,NA,Aerodramus elaphrus,Seychelles Swiftlet
Seychelles Warbler,NA,Acrocephalus sechellensis,Seychelles Warbler
Seychelles White-eye,14,Zosterops modestus,Seychelles White-eye
Shade Bush-warbler,NA,Horornis parens,Shade Bush-warbler
Shaft-tailed Whydah,NA,Vidua regia,Shaft-tailed Whydah
Sharp-beaked Ground-finch,NA,Geospiza difficilis,Sharp-beaked Ground-finch
Sharp-billed Canastero,0.5,Asthenes pyrrholeuca,Sharp-billed Canastero
Sharp-billed Treehunter,NA,Heliobletus contaminatus,Sharp-billed Treehunter
Sharp-shinned Hawk,14.075,Accipiter striatus,Sharp-shinned Hawk
Sharp-tailed Grouse,0,Tympanuchus phasianellus,Sharp-tailed Grouse
Sharp-tailed Ibis,NA,Cercibis oxycerca,Sharp-tailed Ibis
Sharp-tailed Sandpiper,0,Calidris acuminata,Sharp-tailed Sandpiper
Sharp-tailed Starling,NA,Lamprotornis acuticaudus,Sharp-tailed Starling
Sharp-tailed Tyrant,NA,Culicivora caudacuta,Sharp-tailed Tyrant
Sharpbill,12,Oxyruncus cristatus,Sharpbill
Sharpe's Akalat,1.65,Sheppardia sharpei,Sharpe's Akalat
Sharpe's Apalis,NA,Apalis sharpii,Sharpe's Apalis
Sharpe's Lark,NA,Mirafra sharpii,Sharpe's Lark
Sharpe's Longclaw,0,Macronyx sharpei,Sharpe's Longclaw
Sharpe's Rosefinch,NA,Carpodacus verreauxii,Sharpe's Rosefinch
Sharpe's Starling,NA,Pholia sharpii,Sharpe's Starling
Sharpe's Wren,3,Cinnycerthia olivascens,Sharpe's Wren
Shear-tailed Grey Tyrant,NA,Muscipipra vetula,Shear-tailed Grey Tyrant
Shelley's Crimsonwing,NA,Cryptospiza shelleyi,Shelley's Crimsonwing
Shelley's Eagle-owl,NA,Bubo shelleyi,Shelley's Eagle-owl
Shelley's Francolin,0,Scleroptila shelleyi,Shelley's Francolin
Shelley's Greenbul,4,Arizelocichla masukuensis,Shelley's Greenbul
Shelley's Oliveback,NA,Nesocharis shelleyi,Shelley's Oliveback
Shelley's Starling,3,Lamprotornis shelleyi,Shelley's Starling
Shelley's Sunbird,3.5,Cinnyris shelleyi,Shelley's Sunbird
Shikra,13.5,Accipiter badius,Shikra
Shining Bronze-cuckoo,NA,Chalcites lucidus,Shining Bronze-cuckoo
Shining Drongo,9,Dicrurus atripennis,Shining Drongo
Shining Flycatcher,NA,Myiagra alecto,Shining Flycatcher
Shining Honeycreeper,9.75,Cyanerpes lucidus,Shining Honeycreeper
Shining Imperial-pigeon,NA,Ducula chalconota,Shining Imperial-pigeon
Shining Sunbeam,11.5,Aglaeactis cupripennis,Shining Sunbeam
Shining Sunbird,4.5,Cinnyris habessinicus,Shining Sunbird
Shining-blue Kingfisher,NA,Alcedo quadribrachys,Shining-blue Kingfisher
Shining-green Hummingbird,1.75,Lepidopyga goudoti,Shining-green Hummingbird
Shiny Cowbird,NA,Molothrus bonariensis,Shiny Cowbird
Shiny Whistling-thrush,NA,Myophonus melanurus,Shiny Whistling-thrush
Shoebill,NA,Balaeniceps rex,Shoebill
Shore Plover,0,Thinornis novaeseelandiae,Shore Plover
Short-bearded Honeyeater,1.7999999999999998,Melidectes nouhuysi,Short-bearded Honeyeater
Short-billed Black-cockatoo,12,Zanda latirostris,Short-billed Black-cockatoo
Short-billed Brown-dove,NA,Phapitreron brevirostris,Short-billed Brown-dove
Short-billed Bush-Tanager,1.65,Chlorospingus parvirostris,Short-billed Bush-Tanager
Short-billed Canastero,3,Asthenes baeri,Short-billed Canastero
Short-billed Dowitcher,0.1125,Limnodromus griseus,Short-billed Dowitcher
Short-billed Honeycreeper,NA,Cyanerpes nitidus,Short-billed Honeycreeper
Short-billed Leaftosser,NA,Sclerurus rufigularis,Short-billed Leaftosser
Short-billed Miner,NA,Geositta antarctica,Short-billed Miner
Short-billed Minivet,15,Pericrocotus brevirostris,Short-billed Minivet
Short-billed Pigeon,20,Patagioenas nigrirostris,Short-billed Pigeon
Short-billed Pipit,0,Anthus furcatus,Short-billed Pipit
Short-clawed Lark,0,Certhilauda chuana,Short-clawed Lark
Short-crested Coquette,NA,Lophornis brachylophus,Short-crested Coquette
Short-crested Flycatcher,1.65,Myiarchus ferox,Short-crested Flycatcher
Short-crested Monarch,1.2,Hypothymis helenae,Short-crested Monarch
Short-eared Owl,0,Asio flammeus,Short-eared Owl
Short-legged Ground-roller,NA,Brachypteracias leptosomus,Short-legged Ground-roller
Short-tailed Akalat,NA,Sheppardia poensis,Short-tailed Akalat
Short-tailed Albatross,0,Phoebastria albatrus,Short-tailed Albatross
Short-tailed Antbird,NA,Poliocrania maculifer,Short-tailed Antbird
Short-tailed Antthrush,3.5,Chamaeza campanisona,Short-tailed Antthrush
Short-tailed Babbler,0.15,Trichastoma malaccense,Short-tailed Babbler
Short-tailed Drongo,NA,Dicrurus striatus,Short-tailed Drongo
Short-tailed Emerald,1.5,Chlorostilbon poortmani,Short-tailed Emerald
Short-tailed Field-tyrant,0,Muscigralla brevicauda,Short-tailed Field-tyrant
Short-tailed Finch,NA,Idiopsar brachyurus,Short-tailed Finch
Short-tailed Frogmouth,7.5,Batrachostomus poliolophus,Short-tailed Frogmouth
Short-tailed Grasswren,NA,Amytornis merrotsyi,Short-tailed Grasswren
Short-tailed Hawk,19.5,Buteo brachyurus,Short-tailed Hawk
Short-tailed Lark,NA,Spizocorys fremantlii,Short-tailed Lark
Short-tailed Nighthawk,15,Lurocalis semitorquatus,Short-tailed Nighthawk
Short-tailed Paradigalla,10.5,Paradigalla brevicauda,Short-tailed Paradigalla
Short-tailed Parrot,NA,Graydidascalus brachyurus,Short-tailed Parrot
Short-tailed Parrotbill,1.5,Neosuthora davidiana,Short-tailed Parrotbill
Short-tailed Pipit,0,Anthus brachyurus,Short-tailed Pipit
Short-tailed Pygmy-tyrant,4,Myiornis ecaudatus,Short-tailed Pygmy-tyrant
Short-tailed Shearwater,NA,Ardenna tenuirostris,Short-tailed Shearwater
Short-tailed Starling,NA,Aplonis minor,Short-tailed Starling
Short-tailed Swift,NA,Chaetura brachyura,Short-tailed Swift
Short-tailed Woodstar,1.955,Myrmia micrura,Short-tailed Woodstar
Short-toed Coucal,NA,Centropus rectunguis,Short-toed Coucal
Short-toed Rock-thrush,NA,Monticola brevipes,Short-toed Rock-thrush
Short-toed Snake-eagle,15.5,Circaetus gallicus,Short-toed Snake-eagle
Short-toed Treecreeper,5.5,Certhia brachydactyla,Short-toed Treecreeper
Short-winged Cisticola,1.55,Cisticola brachypterus,Short-winged Cisticola
Shovel-billed Kingfisher,NA,Clytoceyx rex,Shovel-billed Kingfisher
Shy Albatross,0,Thalassarche cauta,Shy Albatross
Shy Ground-dove,2.5,Alopecoenas stairi,Shy Ground-dove
Shy Heathwren,NA,Calamanthus cautus,Shy Heathwren
Siamese Fireback,0,Lophura diardi,Siamese Fireback
Siau Pitta,NA,Erythropitta palliceps,Siau Pitta
Siau Scops-owl,NA,Otus siaoensis,Siau Scops-owl
Siberian Accentor,4.4,Prunella montanella,Siberian Accentor
Siberian Blue Robin,NA,Larvivora cyane,Siberian Blue Robin
Siberian Chiffchaff,NA,Phylloscopus tristis,Siberian Chiffchaff
Siberian Crane,0,Leucogeranus leucogeranus,Siberian Crane
Siberian Grouse,0,Falcipennis falcipennis,Siberian Grouse
Siberian Jay,NA,Perisoreus infaustus,Siberian Jay
Siberian Nuthatch,NA,Sitta arctica,Siberian Nuthatch
Siberian Rubythroat,NA,Calliope calliope,Siberian Rubythroat
Siberian Scoter,0,Melanitta stejnegeri,Siberian Scoter
Siberian Thrush,3.25,Geokichla sibirica,Siberian Thrush
Siberian Tit,6.1,Poecile cinctus,Siberian Tit
Sibilant Sirystes,NA,Sirystes sibilator,Sibilant Sirystes
